"d_r_uuid";"dws";"dns";"so";"version";"license_id"
"09212528-db03-4fa1-8aa1-993a848d557c";"bddc368dcc9f1b87c685dc1e828dfa03";"c67459d4e83fae4599b78b9a2d1c6092";"07ce303bae5ddc9852201307ca04b3f6";"Additional Versions";30
"09212528-db03-4fa1-8aa1-993a848d557c";"bddc368dcc9f1b87c685dc1e828dfa03";"c67459d4e83fae4599b78b9a2d1c6092";"07ce303bae5ddc9852201307ca04b3f6";"Additional Versions";22
"09212528-db03-4fa1-8aa1-993a848d557c";"bddc368dcc9f1b87c685dc1e828dfa03";"c67459d4e83fae4599b78b9a2d1c6092";"07ce303bae5ddc9852201307ca04b3f6";"Additional Versions";34
"09212528-db03-4fa1-8aa1-993a848d557c";"bddc368dcc9f1b87c685dc1e828dfa03";"c67459d4e83fae4599b78b9a2d1c6092";"07ce303bae5ddc9852201307ca04b3f6";"Additional Versions";11
"09212528-db03-4fa1-8aa1-993a848d557c";"bddc368dcc9f1b87c685dc1e828dfa03";"c67459d4e83fae4599b78b9a2d1c6092";"07ce303bae5ddc9852201307ca04b3f6";"Additional Versions";31
"3dec9166-bd9d-45d3-acae-9c78adb1a684";"be30a5af9770b0c9efc59663f3e5f88b";"77e76f6c9c38a289331e4b41dbd9c2c0";"71e411b0a0b1167179abe56cb621cc03";"2.15.2";45
"9951786c-0c71-4b2b-b673-f32b05dedb0d";"beb39d58abb3f67986ea959bd6a5153b";"b6681b2ede00f2c103ac03acb5122fe4";"8bd3501882142d5a9a3c713b3edf48a9";"5.3.1dr1";34
"bd6e08a2-484a-4503-9d02-bd795525ddd6";"c281bc445a0181e4bf6a3fe94c507373";"1988d9d0da023a13ca652d1e0ce6dc95";"d25905b56494991d843a66becfce48df";"v1.0.0.201112231337-helios";-1
"34aae316-e6c6-4414-a8af-c476a3feb022";"20ae05fa645e3838e3d6bab23fe8f292";"26b96da9a0b937536f555085dce51e64";"d41d8cd98f00b204e9800998ecf8427e";"aura-framework-0.0.388";45
"ac5846c1-e774-40fc-89fc-92228b80760c";"e1f03d72bda4b527c81fe5dc1133ff3d";"2db8f0402c463e062c376a98ce40408e";"21329f6b48f4246f50771d13dc252209";"2.7-RC2";11
"265d81c1-ff54-4f08-9d25-68b6c4120b5d";"89d96486190001e4207c11ea2970160a";"3a93f7034d3ffc3057ffa170c3838614";"e7eb6fa0aa40a509c704fdde8e575cce";"1.5.0-rc.1";45
"0e6f919b-3eeb-4ec9-9249-bc76cc2ad431";"233884976f5c6816e931f92a3f6bf3a5";"d883dc2544d4176216230cb55a6db830";"13bb43f44571097f219123ebe48c136b";"0.0.1";30
"268b6e7c-dbde-4393-9f62-7d75bfca0558";"8f327c0d8df11cf640a72b6029a0fa91";"17363cc1a91b043485993c8df0898a0a";"c9133b6f436e2a9495a231847631f49d";"7.0.0 M6";33
"8af515ed-25f9-47ea-922b-3b95bfc3aff5";"f18a2ff2b7afd5ef759d26dd87045341";"269b2969daca1bd16afd140a1aff4543";"d41d8cd98f00b204e9800998ecf8427e";"UDK2010.SR1.UP1";3
"3186e8de-1fa1-4bc4-8f76-3fcdebbcea1d";"e5562da9988f6ca659bdd14034dd8d06";"0b941a80439993fcf6908d51ce6adc70";"d41d8cd98f00b204e9800998ecf8427e";"0.2.0";45
"b75cf889-449a-4aae-8bc8-084203d4cc9d";"207576abe89ae1c67c3c5bb6122585f8";"06170d45c6259e28127d93c620d18cc2";"ab8391d0270914cf5807025350734cae";"8.3.0.Beta2";11
"7aa25b49-9bc8-4f58-87fd-b9ebdbeccaf0";"5f866a80c9ea171b6127ccc7130c9de1";"cc6af4ce26dfe0e8685a7c84fe1c0010";"2719a329d430b48421b4885c91f999e9";"2.5.6";45
"d55171d5-093e-4927-afcd-ed1b5cc564dd";"ff907d3871c958803a797744212d8e3f";"8529f50f27ea1bdc86aed013faa54e8d";"d41d8cd98f00b204e9800998ecf8427e";"1.5.10";45
"c34f099e-0b6c-45ca-a299-520e96c4dbf0";"c374b1489dcbbde3c1203f008f457d78";"5d55174372235c39c152b5faddd38ce9";"d41d8cd98f00b204e9800998ecf8427e";"0.37.8-Snap-2014-02-22";34
"ef29a0a1-85ea-4734-bd14-ac12b4d80a24";"c453d0c324bbb76ccd593f4504c9a2b0";"2e2ff7e3cd12241a04fb0302b8cf6fb0";"d41d8cd98f00b204e9800998ecf8427e";"6.3.21";30
"2900297b-f06f-40e1-87cf-4bba29d5293a";"c53e768771a48e9c037d4bb3283e6124";"c74ffc5b66626942b984a7336d77f59a";"d41d8cd98f00b204e9800998ecf8427e";"openbsd_snap_20051003";3
"cb710365-be58-41cf-91ea-6d49d9b28d01";"c6bafde65d29261ada4db836b1627b5f";"d82236996833c46078542ff3a0890071";"536508bee57c07faf9766f4258f8a044";"REL_2.7-20150812220036+0000";45
